Survey period,Area,Mean estimate
07/10 - 06/12,East Midlands,184800
07/10 - 06/12,East of England,224500
07/10 - 06/12,London,246400
07/10 - 06/12,North East,147100
07/10 - 06/12,North West,167300
07/10 - 06/12,Scotland,168300
07/10 - 06/12,South East,265900
07/10 - 06/12,South West,224400
07/10 - 06/12,Wales,165900
07/10 - 06/12,West Midlands,160100
07/10 - 06/12,Yorkshire & the Humber,168400
07/12 - 06/14,East Midlands,192300
07/12 - 06/14,East of England,249700
07/12 - 06/14,London,265700
07/12 - 06/14,North East,157800
07/12 - 06/14,North West,186500
07/12 - 06/14,Scotland,201900
07/12 - 06/14,South East,315000
07/12 - 06/14,South West,255900
07/12 - 06/14,Wales,187600
07/12 - 06/14,West Midlands,178900
07/12 - 06/14,Yorkshire & the Humber,183300
07/14 - 06/16,East Midlands,219800
07/14 - 06/16,East of England,272100
07/14 - 06/16,London,362400
07/14 - 06/16,North East,174500
07/14 - 06/16,North West,213400
07/14 - 06/16,Scotland,240700
07/14 - 06/16,South East,358300
07/14 - 06/16,South West,287600
07/14 - 06/16,Wales,216600
07/14 - 06/16,West Midlands,196200
07/14 - 06/16,Yorkshire & the Humber,211600
04/16 - 03/18,East Midlands,231300
04/16 - 03/18,East of England,310700
04/16 - 03/18,London,388600
04/16 - 03/18,North East,205500
04/16 - 03/18,North West,240900
04/16 - 03/18,Scotland,253300
04/16 - 03/18,South East,407200
04/16 - 03/18,South West,348600
04/16 - 03/18,Wales,253400
04/16 - 03/18,West Midlands,210400
04/16 - 03/18,Yorkshire & the Humber,228500
04/18 - 03/20,East Midlands,250800
04/18 - 03/20,East of England,358000
04/18 - 03/20,London,330100
04/18 - 03/20,North East,209800
04/18 - 03/20,North West,241200
04/18 - 03/20,Scotland,259500
04/18 - 03/20,South East,439500
04/18 - 03/20,South West,337700
04/18 - 03/20,Wales,284300
04/18 - 03/20,West Midlands,247000
04/18 - 03/20,Yorkshire & the Humber,239100
